"","lon","lat","AOD","DQF","hour"
"167",-70.21672,43.51129,0.326338204278727,1,15
"169",-70.16408,43.511868,0.36049008541886,1,15
"170",-70.1377,43.512444,0.342269644810585,1,15
"171",-70.111374,43.51274,0.341170924773905,1,15
"172",-70.08506,43.51296,0.340346884746396,1,15
"173",-70.05873,43.51321,0.343185244841152,1,15
"174",-70.0324,43.513485,0.346023604935908,1,15
"175",-70.00608,43.51371,0.377337125981285,1,15
"414",-70.32458,43.480587,0.341170924773905,1,15
"415",-70.29827,43.480873,0.343459924850322,1,15
"416",-70.271996,43.481014,0.345657364923682,1,15
"417",-70.24566,43.481533,0.320661484089214,1,15
"420",-70.16676,43.48221,0.328901884364313,1,15
"421",-70.14043,43.48266,0.340804684761679,1,15
"422",-70.11412,43.482925,0.311505483783549,1,15
"423",-70.087814,43.483162,0.337325404645526,1,15
"424",-70.06151,43.483425,0.309216483707132,1,15
"425",-70.03516,43.4839,0.311963283798832,1,15
"426",-70.00885,43.484116,0.349960685067344,1,15
"665",-70.32717,43.450985,0.558351252024295,1,15
"666",-70.30088,43.4513,0.371843525797885,1,15
"669",-70.22209,43.45171,0.349136645039835,1,15
"670",-70.19575,43.4523,0.410390287084738,1,15
"671",-70.1695,43.452286,0.3259719642665,1,15
"672",-70.14316,43.45287,0.35801796533633,1,15
"673",-70.11687,43.453136,0.331557124452956,1,15
"674",-70.09057,43.453377,0.334395484547713,1,15
"675",-70.06428,43.453636,0.518522650694649,1,15
"676",-70.03794,43.454086,0.670603815771756,1,15
"677",-70.01165,43.454334,0.57025405242166,1,15
"916",-70.32976,43.421413,0.408192847011378,1,15
"917",-70.303474,43.421734,0.369920765733696,1,15
"922",-70.172134,43.422913,0.380450166085211,1,15
"923",-70.14586,43.42319,0.385852206265554,1,15
"924",-70.11958,43.42346,0.383105406173854,1,15
"925",-70.09331,43.423706,0.434379007885582,1,15
"926",-70.067024,43.423958,0.335036404569109,1,15
"927",-70.04071,43.42441,0.428427607686899,1,15
"1167",-70.332375,43.391575,0.335311084578279,1,15
"1168",-70.30612,43.39186,0.398762166696542,1,15
"1417",-70.36122,43.361576,0.362046605470823,1,15
"1418",-70.33498,43.361923,0.333296764511033,1,15
"1419",-70.30872,43.362213,0.335494204584393,1,15
"1667",-70.39002,43.331627,0.326887564297067,1,15
"1668",-70.36376,43.332153,0.329176564373483,1,15
"1669",-70.337524,43.33247,0.331374004446843,1,15
"1670",-70.311295,43.33281,0.333571444520203,1,15
"1915",-70.47117,43.301346,0.289531083049951,1,15
"1916",-70.44498,43.3015,0.351791885128478,1,15
"1917",-70.41877,43.301834,0.353989325201837,1,15
"1918",-70.392586,43.301952,0.356186765275197,1,15
"1919",-70.36634,43.302475,0.327162244306237,1,15
"1920",-70.340126,43.3028,0.356827685296594,1,15
"1921",-70.313896,43.30314,0.39143736645201,1,15
"1922",-70.287735,43.3031,0.362870645498333,1,15
"1923",-70.26147,43.30373,0.365892125599203,1,15
"2164",-70.52608,43.271008,0.311597043786605,1,15
"2165",-70.49988,43.271374,0.313886043863022,1,15
"2166",-70.47367,43.27172,0.316175043939438,1,15
"2169",-70.395134,43.272335,0.322950484165631,1,15
"2170",-70.36892,43.272747,0.356553005287424,1,15
"2171",-70.34272,43.27307,0.327436924315407,1,15
"2172",-70.31651,43.273388,0.360856325431087,1,15
"2173",-70.29034,43.273537,0.331923364465183,1,15
"2174",-70.26411,43.273983,0.334120804538543,1,15
"2175",-70.23794,43.274086,0.322492684150347,1,15
"2415",-70.528496,43.24175,0.257393521977065,1,15
"2416",-70.50231,43.242085,0.297313683309767,1,15
"2417",-70.47612,43.242466,0.260140322068764,1,15
"2418",-70.44998,43.242508,0.239630881384073,1,15
"2419",-70.423836,43.24263,0.275156162570056,1,15
"2420",-70.39768,43.24275,0.29996892339841,1,15
"2421",-70.37146,43.24327,0.340804684761679,1,15
"2422",-70.345276,43.243595,0.267190442304127,1,15
"2423",-70.319084,43.24391,0.420553447424027,1,15
"2424",-70.292946,43.243923,0.472376409154094,1,15
"2425",-70.266716,43.244507,0.646798214977025,1,15
"2426",-70.24057,43.244503,0.400501806754619,1,15
"2427",-70.21433,43.2451,0.60504685358319,1,15
"2666",-70.53098,43.212048,0.276987362631189,1,15
"2667",-70.50481,43.212414,0.295116243236407,1,15
